70,Everybody Wants to Rule the World,Tears for Fears,25 February 1985,New Wave,4.67,3000
71,Duk Koo Kim,Sun Kil Moon,4 November 2003,Slowcore,4.68,1000
72,Where Is My Mind?,Pixies,21 March 1988,Indie Rock,4.67,3000
73,Alright,Kendrick Lamar,15 March 2015,Conscious Hip Hop,4.62,11000
74,Sinnerman,Nina Simone,October 1965,Rhythm & Blues,4.67,2000
75,Close to the Edge,Yes,13 September 1972,Symphonic Prog,4.66,4000
76,1979,The Smashing Pumpkins,23 October 1995,Alternative Rock,4.67,3000
77,Cherry-Coloured Funk,Cocteau Twins,17 September 1990,Dream Pop,4.65,5000
78,Carry Me Ohio,Sun Kil Moon,4 November 2003,Folk Rock,4.68,2000
79,Blood Promise,Swans,1997,Post-Rock,4.85,1000
80,Roundabout,Yes,26 November 1971,Progressive Rock,4.67,3000
81,The Place Where He Inserted the Blade,"Black Country, New Road",4 February 2022,Progressive Pop,4.63,7000
82,Dogs,Pink Floyd,21 January 1977,Progressive Rock,4.65,6000
83,Would?,Alice in Chains,30 June 1992,Grunge,4.66,3000
84,Space Oddity,David Bowie,11 July 1969,Psychedelic Pop,4.67,2000
85,Runaway,Kanye West,4 October 2010,Pop Rap,4.62,10000
86,Beware,Death Grips,25 April 2011,Abstract Hip Hop,4.65,4000
87,Transdermal Celebration,Ween,5 August 2003,Alternative Rock,4.66,3000
88,Wuthering Heights,Kate Bush,20 January 1978,Art Pop,4.67,2000
89,C.R.E.A.M.,Wu-Tang Clan,9 November 1993,Conscious Hip Hop,4.64,4000
90,Idioteque,Radiohead,3 October 2000,IDM,4.61,10000
91,Eleanor Rigby,The Beatles,5 August 1966,Baroque Pop,4.63,8000
92,Xtal,Aphex Twin,9 November 1992,Ambient Techno,4.65,4000
93,I'm God,Clams Casino,2 June 2011,Instrumental Hip Hop,4.67,753
94,Voodoo Chile (Slight Return),The Jimi Hendrix Experience,25 October 1968,Acid Rock,4.66,2000
95,Stairway to Heaven,Led Zeppelin,8 November 1971,Folk Rock,4.64,5000
96,Only Shallow,My Bloody Valentine,October 1991,Shoegaze,4.62,8000
97,War Pigs,Black Sabbath,18 September 1970,Heavy Metal,4.64,6000
98,Glory Box,Portishead,22 August 1994,Trip Hop,4.65,4000
99,Feel Good Inc.,Gorillaz,9 May 2005,Alternative Rock,4.65,4000
100,Move On Up,Curtis Mayfield,September 1970,Chicago Soul,4.67,1000
101,Carry the Zero,Built to Spill,1998,Indie Rock,4.67,2000
102,Sir Duke,Stevie Wonder,28 September 1976,Pop Soul,4.65,3000
103,One,Metallica,25 August 1988,Thrash Metal,4.65,3000
104,Master of Puppets,Metallica,3 March 1986,Thrash Metal,4.64,5000
105,Ocean Man,Ween,24 June 1997,Psychedelic Pop,4.65,3000
